        MR         R2
 6.558E+02  2.829E-02
 5.088E+02  2.413E-02
 7.015E+02  2.384E-02
 7.350E+02  1.981E-02
 6.480E+02  2.022E-02
 1.026E+03  3.684E-02
 3.667E+02  2.776E-01
 4.474E+02  1.480E-02
 9.086E+02  2.180E-02
 4.228E+02  4.425E-02
 5.865E+02  3.877E-02
 6.811E+02  4.081E-03
 3.298E+02  1.746E-01
 5.727E+02  2.288E-02
 4.605E+02  1.328E-01
 9.066E+02  2.480E-02
 3.419E+02  2.259E-01
 1.293E+03  9.312E-03
 3.161E+02  6.335E-02
 9.333E+02  9.804E-03
 4.625E+02  1.419E-02
 8.342E+02  1.963E-02
 6.974E+02  5.378E-03
 8.699E+02  4.277E-02
 5.915E+02  4.191E-02
 4.315E+02  6.818E-02
 4.384E+02  4.483E-02
 3.472E+02  1.110E-01
 5.330E+02  9.261E-02
 4.896E+02  4.506E-02
 4.741E+02  1.815E-02
 6.760E+02  5.401E-02
 1.222E+03  2.436E-02
 1.412E+03  1.291E-03
 8.209E+02  4.796E-03
 6.557E+02  5.281E-03
 6.179E+02  9.712E-02
 5.076E+02  2.138E-01
 5.316E+02  2.504E-02
 6.816E+02  1.816E-02
 7.994E+02  6.483E-03
 9.196E+02  2.960E-02
 7.472E+02  1.953E-02
 4.769E+02  6.370E-02
 6.718E+02  3.881E-03
 6.092E+02  3.974E-02
 6.793E+02  3.187E-02
 6.988E+02  2.475E-02
 7.340E+02  4.904E-02
 6.738E+02  6.021E-02
 5.007E+02  5.834E-02
 7.376E+02  1.566E-02
 4.743E+02  2.237E-02
 5.945E+02  5.890E-02
 4.871E+02  8.523E-03
 7.233E+02  9.524E-03
 5.219E+02  7.469E-02
 2.854E+02  4.064E-01
 4.761E+02  6.509E-02
 4.958E+02  5.288E-02
 7.545E+02  7.487E-03
 1.053E+03  3.981E-03
 5.409E+02  1.254E-02
 4.447E+02  2.628E-02
 7.539E+02  2.423E-02
 5.086E+02  3.314E-02
 2.593E+02  5.556E-01
 5.977E+02  1.230E-01
 3.960E+02  1.026E-01
 5.885E+02  2.653E-01
 5.369E+02  7.001E-02
 7.307E+02  2.296E-02
 5.687E+02  9.256E-02
 5.764E+02  6.433E-02
 6.912E+02  4.114E-02
 5.487E+02  5.599E-02
 4.153E+02  1.361E-01
 7.742E+02  3.422E-02
 6.709E+02  2.647E-02
 6.244E+02  1.958E-02
 5.827E+02  4.677E-02
 9.260E+02  6.595E-03
 6.730E+02  3.494E-02
 2.638E+02  1.917E-01
 4.391E+02  4.156E-01
 9.478E+02  3.468E-02
 5.789E+02  3.485E-02
 3.864E+02  8.559E-02
 5.757E+02  3.578E-02
 7.568E+02  2.290E-02
 4.694E+02  5.099E-02
 5.380E+02  6.177E-02
 3.793E+02  1.203E-01
 5.857E+02  1.948E-02
 4.097E+02  1.998E-01
 7.868E+02  3.459E-02
 9.983E+02  2.627E-03
 3.242E+02  3.909E-01
 8.489E+02  9.199E-02
 4.858E+02  1.330E-01
 9.031E+02  5.695E-02
 7.021E+02  2.611E-02
 7.526E+02  1.474E-02
 3.543E+02  5.526E-02
 6.032E+02  2.055E-03
 3.783E+02  1.290E-01
 3.009E+03  4.387E-03
 3.313E+02  8.464E-02
 9.342E+02  2.431E-02
 6.823E+02  5.053E-03
 6.846E+02  3.586E-02
 7.002E+02  7.634E-03
 5.976E+02  3.039E-02
 4.978E+02  6.061E-02
 6.113E+02  3.592E-02
 6.865E+02  1.825E-02
 2.944E+02  4.121E-01
 6.471E+02  2.099E-02
 6.009E+02  5.299E-02
 6.528E+02  8.361E-02
 6.710E+02  1.954E-02
 7.244E+02  3.942E-02
 2.798E+02  5.626E-01
 6.977E+02  2.212E-02
 2.882E+02  2.738E-01
 1.709E+02  2.912E-02
 3.910E+02  1.837E-02
 1.037E+03  8.604E-02
 5.657E+02  2.945E-02
 3.876E+02  1.477E-01
 1.266E+03  1.593E-03
 2.978E+02  5.444E-01
 6.447E+02  3.298E-02
 5.607E+02  7.131E-02
 5.199E+02  6.896E-03
 5.742E+02  9.916E-03
 6.947E+02  2.035E-02
 8.418E+02  1.779E-02
 4.483E+02  1.720E-01
 7.215E+02  1.158E-02
 7.583E+02  5.199E-03
 5.873E+02  1.660E-02
 6.494E+02  2.142E-02
 1.759E+03  1.906E-03
 5.398E+02  4.085E-02
 5.175E+02  2.547E-02
 4.198E+02  8.292E-02
 8.632E+02  1.667E-02
 3.521E+02  4.267E-02
 2.501E+03  2.169E-03
 6.661E+02  5.395E-02
 7.959E+02  1.996E-02
 4.003E+02  1.997E-01
 1.304E+03  1.185E-03
 5.020E+02  6.272E-02
 8.249E+02  7.574E-03
 1.255E+03  2.313E-02
 1.373E+03  8.430E-03
 4.821E+02  1.010E-02
 9.994E+02  2.636E-02
 4.512E+02  1.361E-01
 3.822E+02  1.065E-02
 5.605E+02  1.902E-02
 7.519E+02  5.418E-02
 6.804E+02  1.224E-02
 1.289E+03  2.999E-02
 6.474E+02  1.646E-02
 6.282E+02  5.777E-02
 6.708E+02  1.458E-02
 6.104E+02  1.160E-01
 1.230E+03  1.051E-02
 2.647E+02  1.228E-01
 8.502E+02  4.696E-03
 1.317E+03  2.579E-03
 6.481E+02  6.879E-02
 4.000E+02  3.357E-02
 5.460E+02  3.623E-02
 1.569E+03  6.071E-04
 6.559E+02  9.066E-02
 1.050E+03  2.455E-02
 5.165E+02  3.027E-02
 9.941E+02  1.510E-02
 5.101E+02  5.398E-02
 8.348E+02  5.340E-02
 4.936E+02  9.595E-03
 6.016E+02  2.556E-02
 7.743E+02  2.340E-02
 6.124E+02  3.913E-02
 4.998E+02  6.384E-02
 4.448E+02  2.628E-01
 7.493E+02  4.149E-02
 9.393E+02  9.631E-03
 1.262E+03  5.602E-03
 9.663E+02  2.188E-02
 4.808E+02  5.496E-02
 4.437E+02  8.743E-02
 1.022E+03  1.600E-02
 4.765E+02  5.299E-02
 4.374E+02  3.290E-02
 6.790E+02  1.824E-02
 4.117E+02  1.379E-01
 6.032E+02  3.955E-02
 4.593E+02  9.962E-02
 5.421E+02  3.255E-02
 8.470E+02  2.670E-02
 5.472E+02  6.688E-02
 1.308E+03  2.038E-03
 2.292E+03  1.559E-03
 5.791E+02  2.488E-02
 1.090E+03  1.412E-02
 7.669E+02  2.939E-02
 5.185E+02  2.622E-02
 5.916E+02  1.130E-02
 5.410E+02  7.078E-02
 7.925E+02  1.790E-02
 5.798E+02  8.031E-03
