        MR         R2
 2.014E+03  3.943E-01
 1.227E+03  5.619E-02
 6.453E+02  2.218E-01
 1.297E+03  3.678E-02
 5.095E+02  6.928E-01
 1.126E+03  2.088E-01
 1.230E+03  7.732E-02
 2.063E+03  1.384E-01
 7.574E+02  5.943E-01
 6.764E+02  4.542E-01
 7.235E+02  6.639E-01
 1.078E+03  1.089E-01
 1.333E+03  5.278E-01
 5.441E+02  1.585E-01
 1.013E+03  2.533E-01
 5.340E+02  4.058E-01
 9.480E+02  4.772E-02
 1.258E+03  2.475E-01
 7.961E+02  1.575E-01
 1.413E+03  1.498E-02
 9.403E+02  3.000E-01
 6.439E+02  4.561E-01
 1.096E+03  1.124E-01
 5.334E+02  2.100E-01
 1.168E+03  2.315E-01
 5.488E+02  7.255E-01
 1.047E+03  1.462E-01
 5.372E+02  8.426E-01
 8.739E+02  6.067E-01
 1.319E+03  1.279E-01
 6.019E+02  5.673E-01
 6.458E+02  3.897E-01
 1.156E+03  9.617E-02
 4.695E+02  5.870E-01
 1.271E+03  2.383E-01
 8.358E+02  2.073E-01
 5.285E+02  1.720E-01
 1.761E+03  6.829E-02
 6.801E+02  4.813E-02
 1.109E+03  6.084E-02
 1.035E+03  3.571E-01
 1.309E+03  4.294E-01
 1.520E+03  1.030E-01
 1.513E+03  9.852E-02
 1.151E+03  1.403E-01
 2.021E+03  1.053E-01
 1.464E+03  1.164E-01
 8.952E+02  5.189E-01
 1.057E+03  1.847E-01
 8.664E+02  3.081E-01
 9.312E+02  5.571E-01
 6.403E+02  6.588E-01
 1.003E+03  2.658E-01
 7.845E+02  3.099E-01
 8.643E+02  2.286E-01
 6.972E+02  7.605E-01
 9.083E+02  3.790E-01
 4.756E+02  4.734E-01
 1.383E+03  2.076E-01
 1.174E+03  4.210E-01
 6.162E+02  2.462E-01
 5.494E+02  4.200E-01
 1.086E+03  4.600E-01
 6.751E+02  2.917E-01
 1.693E+03  1.971E-01
 7.709E+02  4.097E-01
 5.439E+02  1.046E-01
 1.760E+03  1.624E-01
 1.059E+03  9.630E-02
 5.376E+02  1.242E-01
 1.645E+03  2.821E-02
 9.048E+02  2.027E-01
 1.313E+03  1.498E-01
 6.635E+02  4.818E-01
 1.516E+03  3.503E-01
 6.821E+02  6.111E-01
 9.870E+02  2.917E-01
 9.978E+02  5.581E-01
 5.959E+02  4.336E-01
 5.914E+02  2.040E-01
 1.449E+03  1.100E-02
 2.115E+03  5.287E-02
 6.027E+02  7.886E-02
 1.532E+03  5.872E-02
 1.165E+03  7.562E-02
 9.121E+02  3.328E-01
 1.058E+03  3.767E-01
 1.209E+03  7.844E-02
 7.235E+02  1.328E-01
 1.366E+03  6.225E-02
 1.003E+03  1.539E-01
 1.322E+03  2.581E-01
 4.256E+02  3.274E-01
 6.409E+02  2.770E-01
 1.285E+03  4.890E-02
 2.811E+03  6.241E-02
 1.625E+03  1.468E-01
 1.181E+03  1.137E-01
 1.489E+03  1.185E-01
 1.065E+03  5.083E-01
 8.874E+02  6.041E-01
 1.133E+03  1.208E-01
 2.109E+03  1.353E-01
 1.110E+03  3.375E-01
 8.029E+02  6.728E-01
 5.836E+02  8.526E-01
 9.233E+02  2.866E-01
 1.857E+03  2.141E-01
 8.495E+02  6.171E-01
 1.005E+03  7.769E-02
 7.130E+02  4.202E-01
 8.370E+02  3.144E-01
 1.244E+03  3.362E-01
 6.847E+02  5.081E-01
 6.964E+02  2.095E-01
 8.263E+02  4.402E-01
 1.051E+03  2.113E-01
 1.372E+03  1.117E-01
 7.508E+02  1.111E-01
 1.366E+03  6.612E-01
 1.204E+03  1.047E-01
 1.964E+03  1.110E-01
 1.184E+03  3.586E-01
 6.555E+02  1.586E-01
 1.919E+03  6.191E-02
 1.102E+03  1.739E-01
 7.084E+02  5.438E-01
 1.059E+03  2.172E-01
 1.446E+03  1.033E-01
 3.684E+02  5.036E-01
 1.785E+03  2.812E-01
 8.279E+02  2.627E-01
 9.591E+02  3.065E-01
 1.386E+03  2.892E-01
 1.178E+03  9.452E-02
 1.128E+03  5.725E-01
 6.100E+02  6.830E-01
 1.427E+03  1.881E-01
 2.024E+03  1.763E-01
 1.032E+03  5.403E-01
 2.177E+03  2.280E-01
 6.666E+02  4.196E-01
 1.126E+03  3.678E-01
 8.361E+02  3.294E-01
 1.462E+03  2.080E-01
 5.682E+02  8.634E-01
 6.530E+02  1.799E-01
 7.943E+02  1.237E-01
 7.592E+02  7.159E-02
 7.982E+02  7.197E-01
 7.057E+02  4.326E-01
 5.626E+02  1.973E-01
 1.299E+03  1.843E-01
 1.095E+03  3.671E-01
 8.690E+02  3.979E-01
 1.327E+03  1.832E-01
 4.087E+02  7.397E-01
 1.676E+03  1.282E-01
 4.423E+02  3.835E-01
 1.065E+03  5.137E-02
 5.699E+02  3.493E-01
 1.110E+03  2.458E-01
 1.534E+03  1.419E-01
